name,email,status,last_contact,website,notes,profit_score,place_id
Westside Laundromat,,No Website,,,,50,ChIJ0fYEB1fL44cROZ0x3aF1G_8
QC Mart Laundromat,,No Website,,,,50,ChIJi0aiFWs34ocRQ950lYSvqs4
Neighborhood Laundromat Rock Island,,No Website,,,,50,ChIJIWw3-sAz4ocRSyo5VVJrZfk
Gaming Laundromat,,No Website,,,,50,ChIJbeokbVIz4ocRfyJ0spBzRwA
The Soap House Laundromat,,No Website,,,,50,ChIJL-kv5Qs14ocRIPU3l8ysxjo
Grand Plaza & Laundry,,No Website,,,,50,ChIJxzYWNgAz4ocRAu4372iFiSE
Laundromat,,No Website,,,,50,ChIJDdKfV2JA4ocR3YqlLA5XqeI
Sam's Laundry,,No Website,,,,50,ChIJAfaOlqU04ocRLMACFtfA1L0
Laundry Room,,No Website,,,,50,ChIJURcJUMIy4ocRb05yUwr6QMI
Giant Laundromats (Neighborhood),webmaster@giantlaundromats.com,Contacted_Once,2026-05-31 20:56:28.076114,http://www.giantlaundromats.com/,,50,ChIJuV635Wpn4ocRHVCFxtx4WnM
Giant Laundromats (Neighborhood Laundromat),webmaster@giantlaundromats.com,New,,http://www.giantlaundromats.com/,,50,ChIJ5agDaAI54ocRc6zR92irc3c
Giant Laundromats (Giant Laundromat),webmaster@giantlaundromats.com,New,,https://giantlaundromats.com/,,50,ChIJ7zEjMnAx4ocRIawajQaMYVI
King Laundromat,webmaster@giantlaundromats.com,New,,https://giantlaundromats.com/,,50,ChIJq-lZNz5L4ocRaHKehS-Hcps
Giant Laundromats (King Laundromat),webmaster@giantlaundromats.com,New,,https://giantlaundromats.com/,,50,ChIJo70yP6Iw4ocR5rvFWZsyB6A
Giant Laundromats (Colona),webmaster@giantlaundromats.com,New,,https://giantlaundromats.com/,,50,ChIJ8ZsUSe894ocRsi3NsJRXbjM
Giant Laundromats (Mega Load),webmaster@giantlaundromats.com,New,,https://giantlaundromats.com/,,50,ChIJXQRndGU64ocRJxs-c3bRs_k
Burke Cleaners,info@burkecleaners.net,Contacted_Once,2026-05-31 20:56:28.076114,http://www.burkecleaners.net/,,50,ChIJrdHSlrc04ocRMxSE6L3s0y8
Burke Cleaners,info@burkecleaners.net,New,,http://www.burkecleaners.net/,,50,ChIJtbIp00004ocRBK6JAI-B0nY
"Laundromania | Davenport, Iowa",Brian@Laundromania.com,Contacted_Once,2026-05-31 20:56:28.076114,https://laundromania.com/davenport/,,50,ChIJJWhQczQ14ocRu0fwQOuMHqU
Sanitary Suds,user@domain.com,Contacted_Once,2026-05-31 20:56:28.076114,https://www.qcsanitarysuds.com/,,50,ChIJ0VLM7ZI04ocRwpIu1if_8aQ
Joel’s Auto Repair,,No Website,,,,70,ChIJPx4ul18z4ocRi3qWrKLuNOw
Camfield and Sons Auto Repair,,No Website,,,,70,ChIJn3zD3m4x4ocREJZELRGVl4E
Julio’s Auto Repair Services,,No Website,,,,70,ChIJDahVCHcz4ocRP8l4KIbdugI
JJ Auto Repair,,No Website,,,,70,ChIJ03ryjvox4ocRZoGauFCWZCA
Jim Whan's Automotive Central,,No Email Found,,http://www.jimwhansautomotivecentral.com/,,70,ChIJg4i1bQlL4ocRynfJdIJqlEM
Action Auto Repair and Towing LLC,,No Email Found,,http://actionautoqc.com/,,70,ChIJWTDPaqPM44cRolalYJL-czI
Wallick's Auto Service,,No Email Found,,https://www.wallicksauto.com/,,70,ChIJT3Ohr0rL44cRbkB1OmGrmTo
Victor's Auto Repair,,No Email Found,,https://victorsautorepairmoline.com/,,70,ChIJmQx6w7cw4ocREdjC6S1xFMY
LeMaitre's Auto and Repair,,No Email Found,,https://www.lemaitresautoandrepair.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12688686340422721276,,70,ChIJw2WgBQFL4ocRG68p3s5hU1c
ISLAND AUTO CARE,islandautocare1@gmail.com,Contacted_Once,2026-05-31 20:56:28.076114,https://islandautocareqc.com/,,70,ChIJg0zfSEwz4ocRsvkwrawDbfc
Shawn's Auto Service,,No Email Found,,https://shawnsautoservicebettendorf.com/,,70,ChIJHxEGddE24ocR30S1_9J-Gpo
Dittmer's Service Inc,,No Email Found,,https://www.dittmersservice.com/,,50,ChIJzWy6wLc04ocRWZ1Lo6-yAok
Gravert's Auto Service,,No Email Found,,http://gravertsautoservice.com/,,70,ChIJf-bbt5s04ocRSioZkn_YoOc
My Mobile Mechanic,,No Email Found,,https://seodavenport.blogspot.com/?m=1,,50,ChIJdTVZmR014ocRAtDhW1dZ9N4
Dale's Service Center,dales@dalesqc.com,Contacted_Once,2026-05-31 20:56:28.076114,https://www.dalesqc.com/,,50,ChIJlX0I4HLL44cRdElwXZtunVY
Rick & Ken's Complete Automotive Repair,rickandkensautomotiverepair@gmail.com,Contacted_Once,2026-05-31 20:56:28.076114,https://rickandkensautomotive.com/,,70,ChIJo-lS4ag04ocRjk5IMUaQhTU
Bi-State Auto Service Center,,No Email Found,,http://www.bistateauto.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB+Visit,,70,ChIJpRqo4W4x4ocReTpd_Ra8YgY
